,text,sentiment,word_count,unique_word_count,stop_word_count,mean_word_length,char_count
28,sjdo me bhi wo hi pda he jis k dil me khuda ka dr he .,Positive,16,14,5,2.4375,54
29,beshaq haq baat hai,Positive,4,4,1,4.0,19
30,right ha but bar bar ak hi insan q berdash karea yr ye sub batamize kerne wala bhi to samjhea,Positive,20,19,4,3.7,93
31,right mara jasa masom log,Positive,5,5,0,4.2,25
32,mashaallah.,Positive,1,1,0,11.0,11
33,mubarak,Positive,1,1,0,7.0,7
34,ma hun hero tara <3,Positive,5,5,1,3.0,19
35,feel kar speed bot ki <3,Positive,6,6,2,3.1666666666666665,24
36,"isy kahty han hop hip hop <3

:* powered by :* abraham tamim :*",Positive,14,11,1,3.5,63
37,great aadmi aadmi,Positive,3,2,0,5.0,17
38,in england attaullah esakhelvi married with a pakistani ethnography british lady,Positive,11,11,0,6.363636363636363,80
39,he has one son with her,Positive,6,6,0,3.0,23
40,"he got second marriage with bazgha, she is famous manuscript actress and they have only daughter named laraib and only son named sanwal",Positive,23,20,1,4.913043478260869,135
41,he received honorable award from the government of pakistan and life time achievement award from the queen of england,Positive,19,15,0,5.2105263157894735,117
42,he entered in guinness book of world record for the singer of most recorded albums,Positive,15,14,0,4.533333333333333,82
43,"attaullah esakhelvi ka shumar un gine chune artists mein kiya jata hai, jin ki maqboliyat, mutarrif hone se le kar shohrat ke urooj tak pohanchne tak radio, tv ya film ke marhoon e minnat nahi hai",Positive,36,34,8,4.472222222222222,196
44,agarcha aise artists mein munni begum aur aziz miyan qawaal ka naam bhi shamil hai,Positive,15,15,4,4.533333333333333,82
45,lekin top of the list attaullah esakhelvi ka naam he samjha jata hai,Positive,13,13,3,4.3076923076923075,68
46,"jin ki ibtedai zindagi aur urooj ki daastan qabil e rashk bhi hai, dilchasp bhi aur kar hawalon se qabil e taqleed bhi",Positive,23,17,9,4.173913043478261,118
47,in mein mauseeqi ka shauq paida hua to inho ne gungunana shuru kar diya,Positive,14,14,4,4.142857142857143,71
48,jab school teachers ne in ki awaaz suni to mukesh aur rafi ke songs ki farmaiysh karne lage aur hausla afzaai karne ke sath sath yeh dars bhi dete rehte ke singing na chorna,Positive,34,28,9,4.117647058823529,173
49,wohi un ki infaradiyat bana,Positive,5,5,2,4.6,27
50,"yahin qismat ki devi un par meharban hui aur “ rehmat gramophone house ” naami aik company ne un ke songs ki recording ki… “ udhar zindagi ka janaza uthega ” aur saraiki geet “ naki jae gal tu rus naa ae dhola ” ( choti si baat par naraz ho jate ho maahi ), jab market mein aae to jaise hulchul mach gai",Positive,64,55,15,3.75,303
51,har taraf ataullah niazi ki singing ka charcha hone laga,Positive,10,10,2,4.7,56
52,lekin us daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar diya,Positive,16,15,5,4.0625,80
53,radio aur tv jo maand parhte sitaron ki kafalat he nahi bal ke ubharte hue artists ke hausla afzaai ki riwayaat bhi rakhte hain,Positive,24,22,6,4.333333333333333,127
54,"lekin dosri taraf village, dehaat, qasbon, buses, wagons aur chae khano mein attaullah esakhelvi ki awaaz ka tota bol raha tha",Positive,21,21,5,5.0476190476190474,126
55,taweel musafat ke liye buses ka ticket lene wale pehle yeh istafsaar bhi karte ke attaullah esakhelvi ki cassette lagaoge ?mianwali ke logon ne inhe bataya ke tumhare naam se esakhel mein hotel khul gae hain,Positive,36,33,8,4.777777777777778,207
56,"jagah jagah tumhari taswirein lagi hain aur mianwali mein sirf tumhari cassette he farokht hoti hai, to attaullah esakhelvi ne phir esakhel jane ka qasd kiya",Positive,26,24,5,5.076923076923077,157
57,phir yeh hua ke radio pakistan ke farmaishi naghmon ke programs mein 90 % log attaullah esakhelvi ke songs ki farmaiysh karte,Positive,22,19,3,4.7272727272727275,125
58,radio hukkam par bhi is hawale se dabao dala jata ke wo apni nashriyat mein attaullah esakhelvi ko madaoo karen aur aakhirkar majboor ho kar attaullah esakhelvi se radio pakistan aane ki darkhuwast karni parhi,Positive,35,31,12,5.0,209
59,70 ki dehaai ka yeh wo zamana tha jab attaullah esakhelvi aik cassette ki recording ka muaawza 1 lac rupees liya karte the,Positive,23,21,7,4.3478260869565215,122
60,"tahum radio par songs ka muaawza inhe 60 rupey ka cheque mila, jo inho ne cash nahi karwaya aur aaj tak sambhal kar rakha hua hai",Positive,26,25,8,4.0,129
61,sirf yehi nahi bal ke radio par recording se qabal inhe audition ( awaaz ki qaulity ka imtehaan ) kea mal se bhi guzarna parha,Positive,25,24,9,4.08,126
62,"phir aahista aahista un ki singing ne tabqa ishrafia ke drawing rooms, cars ke sound systems aur video libraries mein jagah bana li",Positive,23,21,3,4.739130434782608,131
63,beron e mulk basne wale pakistani jab watan aate to doston aur aehbaab ki farmaiysh pori karne ke liye barhi tadaad mein in ke cassette tohfatan le kar jate,Positive,29,28,6,4.413793103448276,156
64,is tarah europe aur mashriq wastee mein bhi wo pakistan ki aik manoos aur maqbool awaaz ban gae,Positive,18,17,6,4.333333333333333,95
65,1980 mein inho ne pehli martaba british ka tour kiya to wahan bhi dhoom macha di,Positive,16,16,4,4.0625,80
66,diyar e ghair mein basne wale in ke songs sunn kar apno ko yaad karte to in ki aankhon se aansoo rawaa’n ho jate,Positive,24,23,6,3.7083333333333335,112
67,naujawan ladke aur ladkiyan walihana raqs karte to gorey bhi be saakhti ke aalam mein in ka sath dete,Positive,19,19,4,4.368421052631579,101
68,england aamad o raft ka silsila shuru hua to aik pakistani nasaad british ladki ko dil de bethe,Positive,18,18,4,4.333333333333333,95
69,is tarah wo aaj tak sab ke lala he hain,Positive,10,10,3,3.0,39
70,yeh aezaaz ab tak attaullah esakhelvi ke paas he hai ke recording aur farokht hone wale cassettes mein sab se ziyada in ki singing ke he hote hain,Positive,28,25,7,4.25,146
71,inho ne hukomat e pakistan se tamgha e imtiaz hasil karne ke sath malika british se life time achievement award bhi hasil kiya hai,Positive,24,21,5,4.458333333333333,130
72,1994 mein in ka naam sab se ziyada audio albums recorder karane wale singer ke hawale se guinness book of world record mein bhi darj tha,Positive,26,24,5,4.269230769230769,136
73,torkham se karachi tak truck drivers ka safar un ki awaaz ke sath hota hai,Positive,15,15,5,4.0,74
74,"president ayyab khan, mohtarma fatima jinnah, baaz dosri shakhsiyat ki tasaweer to beshumaar trucks ke aqbii hisson par bani nazar aati hain, lekin attaullah esakhelvi mulk ke wo wahid artist hain jin se wabistegi ka izhaar buses aur trucks ke piche tasweer banwa kar bhi kiya jata hai",Positive,48,45,12,4.958333333333333,285
75,she played a fantastic role in the drama serial “ aangan terha ” with shakeel siddiqui and saleem nasir ( late ),Positive,22,22,2,4.136363636363637,112
76,bushra ansari received many more different prizes and awards in her life,Positive,12,12,0,5.083333333333333,72
77,she received an award of pride of performance and women life achievement award from benazir bhutto,Positive,16,14,0,5.1875,98
78,she won the ptv award and lux style award also,Positive,10,9,0,3.7,46
79,bushra ansari performed interesting role in the film “abhi to main jawan hon” from geo tv,Positive,16,16,2,4.625,89
80,"yeh beyk waqt actress, singer, host, comedian and drama nigaar ke taur par pehchani jati hain",Positive,16,16,4,4.875,93
81,inka har andaaz munfarid aur har roop judagana hai,Positive,9,8,2,4.666666666666667,50
82,"sanjeeda acting, comedy, parody, singing, hosting aur ab drama nigari",Positive,10,10,2,6.0,69
83,inho ne har field mein apna loha manwaya hai,Positive,9,9,2,4.0,44
84,jis se in ki do betiyan hain,Positive,7,7,3,3.142857142857143,28
85,intehai masroof aur mashoor fankara hone ke bawajood inho ne aik biwi aur maa ka role pori zimmedari se adaa kiya,Positive,21,20,5,4.428571428571429,113
86,bushra apni family se bohat ziyada attached hain aur fursat ka tamam waqt ghar walon ke sath he guzarti hain,Positive,20,19,5,4.45,108
87,"career : bushra ansari sirf 9 saal ki umer mein he ptv ke children music show, kalbon ki mala ki regular performer ban gai thin",Positive,25,23,5,4.12,127
88, to farooq qiaser ne inhe apne show kalliyan ke liye muntakhib kiya,Positive,12,12,3,4.583333333333333,67
89,is ke ilawa wo show ke deegar roles ke liye bhi songs gaya karti thin,Positive,15,13,5,3.6666666666666665,69
90,"bunyadi taur par yeh bahon ka show tha, lekin ise har umar ke nazreen barhe shauq se dekha karte the",Positive,20,20,4,4.05,100
91,bushra ne sab se pehle iqbal ansari ke aik drama mein acting ke johar dikhaey,Positive,15,14,2,4.2,77
92,lekin bushra ko sab se ziyada shohrat anwar maqsood ke show shosha se mili,Positive,14,13,3,4.357142857142857,74
93,jis mein bushra ne bijli ka role adaa kar ke meyla loot liya,Positive,13,13,3,3.6923076923076925,60
94,yeh character itna popular hua ke jab kabhi bushra ansari kisi show ke silsile mein beyron e mulk jati to in se bijli ka character karne ki farmaiysh ki jati,Positive,30,26,8,4.266666666666667,157
95,"bushra ansari ka aik aur aeham show aangan terha hai, jise anwar maqsood ne likha aur us mein inho ne shakeel siddiqui aur saleem nasir marhoom ke hamrah yadgar performance di",Positive,31,28,7,4.67741935483871,175
96,comedy shows ki bat ho to sab se pehle ptv ki tareekh ke maqbool tareen show fifty fifty ka naam zehan mein aata hai,Positive,24,22,7,3.875,116
97,is show ko maqboliyat ki bulandiyon tak pohnchane mein jahan ismail tara aur majid jahangir ki lajawab performance ka dakhal tha to bushra ansari ne bhi apni parodies ke zariye is show ko kamiyab banane mein koi kasar na chori,Positive,40,35,14,4.675,226
98,inho ne chehre ke tasurrat aur body language ke zariye in roles mein jaan daal di,Positive,16,15,2,4.125,81
99,"bushra ansari ne har umer ke role adaa kiye hain, jin mein young, udherh aur old age sab he shamil hain",Positive,21,21,3,3.9523809523809526,103
100,"personality : bushra ansari ko sirf acting mein he malka hasil nahi, bal key eh aik shandar shakhsiyat ki bhi malik hain",Positive,22,22,5,4.5,120
101,yeh guzishta 40 saal se mini screen par apni salahiyaton ke johar dikha rahi hain aur din ba din in ke har sitaron ki tadad mein izafa hota ja raha hai,Positive,31,29,11,3.903225806451613,151
102,kyun ke wo janti hain ke waqt ke sath sath apne kaam mein kya tabdeeli lai ja sakti hai,Positive,19,16,5,3.6315789473684212,87
103,"dilchasp harkaat, dilkash personality aur khobsurat chehre ki malik bushra ansari har umar ke nazreen mein popular hain",Positive,18,18,3,5.666666666666667,119
104,chand maah qabal inho ne geo tv ke show dolly ki aaegi baraat mein saima chaudhry ka role play kar ke is serial ko mazeed dilchasp bana diya,Positive,28,27,6,4.035714285714286,140
105,yaar yeh be fitt ha.,Positive,5,5,1,3.2,20
106,ap to hero ho  . autograph do na 😂😂,Positive,9,9,4,2.888888888888889,35
107,autograph milay ga ..zroooor milay ga,Positive,6,4,2,5.333333333333333,37
108,hahahaha ye acha hai :p,Positive,5,5,2,3.8,23
109,apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr 😒😊,Positive,16,15,2,2.875,61
110,haahah...han zroor....yar mjhe acha lgta jb yeh ese post krte,Positive,10,10,3,5.2,61
111,hahahaa...qasmay dil ki awaz h meri ye page :-d,Positive,9,9,1,4.333333333333333,47
112,aala :d :d,Positive,3,2,0,2.6666666666666665,10
113,app k dil ki bhi. :),Positive,6,6,1,2.5,20
114,buht achi bat kahi he,Positive,5,5,0,3.4,21
115,uff yeh apki paakbaaz soch :'),Positive,6,6,1,4.166666666666667,30
116,cara jvd bilkul aisa hi kuch main apko b kehna chahti hn :d,Positive,13,13,3,3.6153846153846154,59
117,hahaha wah saen wah 😂😂😂,Positive,5,4,0,3.8,23
118,baari ap to famous ho gai hain ♥,Positive,8,8,4,3.125,32
119,hahaha... ye time ni nikal skta... u r too demanding girl,Positive,11,11,0,4.2727272727272725,57
120,khushi se hori hy itne likes dekh k,Positive,8,8,2,3.5,35
121,ufff dono kis trha parri hain :d:d chalo na krwao :p,Positive,11,11,4,3.8181818181818183,52
122,akhir student kis k hnnnnn...😂😉😂,Positive,5,5,1,5.6,32
123,ji bilkul paisaaa wasooool comments,Positive,5,5,0,6.2,35
124,aap tau millionaire ban jaen gee,Positive,6,6,0,4.5,32
125,"pskistani jawano, lagatay raho imran khan k doz. aik din number one per aa jao gay
tabdeeli",Positive,17,17,0,4.411764705882353,91
126,hahaha  tum to hurr jaghaa famous ho <3,Positive,8,8,2,3.875,39
127,caption khass ap ky liye :'d,Positive,6,6,1,3.8333333333333335,28
128,saas bahu ka rishta nawaz sharif r mamnoon hussain ko bhi peeche chore de 😂😂😂,Positive,15,15,4,4.2,77
129,"apnay kharchay khudd uthaa saknay wali independent aurat ko, jo bghair kisi py depend kiye aur bghair kisi ki faaltu bakwaas sunay, (k g mein tou boht azeem aadmi hun k o biwi, tumhara kharcha uthaa rha hun) izzat k sath zindagi guzaar rhi ho, ussay kehtay hain kaamyaab aurat.",Positive,50,46,7,4.56,277
130,meri nazr me kamyab orath wo he jo khud mehnat or himmat kr k apna career bnaye or peso k lie kisi mrd ki mohtaj na ho.,Positive,27,25,5,3.4444444444444446,119
131,...talaash jaari rakhein aap aik din kamyaab aurat banein gi..😂😂😂,Positive,10,10,0,5.6,65
132,inshallah hum dono kaamyaab rhen apne naik iraadon mein😂😂😍..tune tou shiad dhond liya😂😂🤔ya abhi bhi talaash jaari😂😑,Positive,17,17,4,5.823529411764706,115
133,pta ni kahan hoty hain aese kamyab mard 😁,Positive,9,9,2,3.6666666666666665,41
134,hehehehehe unmarried hona chahiye bs 😁,Positive,6,6,0,5.5,38
135,oooppss to phle bolti na dash mjhe lga meri pysri dost mere liye soch rhi hai 😂🤣 chal tu rakh lena😁,Positive,21,21,6,3.761904761904762,99
136,kamiyab aurat bnna chahti hun meri sadgi dikh mai kya chahti hun 😂😂,Positive,13,11,3,4.230769230769231,67
137,mai khud kamyab bnna chahti ho samw khwab hai hmare yad nae tme😂,Positive,13,13,2,4.0,64
138,meri jesi kamiyabiyan na karna tum log... go for a mzeed rich bitch!! ✌🏻,Positive,14,14,2,4.214285714285714,72
139,mil jae ga dnt worry,Positive,5,5,2,3.2,20
140,dekho wo hum ny reject krdia na ye b kaamyabi hi hoti hai😂,Positive,13,13,5,3.5384615384615383,58
141,32k mn kia hoga yr xd,Positive,6,6,0,2.6666666666666665,21
142,abhi 5o party shoro hoi he,Positive,6,6,0,3.5,26
143,jo wife ko apni pay k mutabiq kharcha krae wohi kamyab mard hy,Positive,13,13,4,3.8461538461538463,62
144,hahaha  kal ki debate k baad kamyab aurat ka award aap ko jata hai,Positive,14,14,5,3.7142857142857144,66
145,hahahaha shukria shukria,Positive,3,2,0,7.333333333333333,24
146,yani hum dono kamyab hain 🤣🤣,Positive,6,6,3,3.8333333333333335,28
147,kyn k tu khud ek kamyab aurat hai lol apni mehnat se 🤣🤣,Positive,13,13,3,3.3076923076923075,55
148,mere pas kamyaab maa hai. 😂😂😂😂,Positive,6,6,0,4.166666666666667,30
149,yeh tou hai mard apni biwi ki kismat say hi kamaata hai,Positive,12,11,6,3.6666666666666665,55
150,hum hun gay kamyab aik din ,Positive,6,6,2,3.5,27
151,mene dhoundh lia akhir 💃👫 😛😉♥️😍  i m lucky 😁🤫,Positive,10,10,0,3.5,45
152,hum honga kamyab aiek din🙈🙈😂😂,Positive,5,5,1,5.0,29
153,allah tallah hama b aisa hi banda da 😂😂😂😂,Positive,9,9,1,3.6666666666666665,41
154,hum 2no e kamyab hain 😀😀😀😀,Positive,6,6,2,3.5,26
155,wo kya hai k meiny apny kharchy mukhtasir krny ka soch liya hai🤣,Positive,13,13,5,4.0,64
156,hum kaamiyab hein 😉,Positive,4,4,1,4.0,19
157,jab dono khameeyab haan tou bari kushe ki bat ha jasy men khmeeyab mard,Positive,14,14,4,4.142857142857143,71
158,allah khair kay ga,Positive,4,4,1,3.75,18
159,alhamdulillah me kamyab aurat,Positive,4,4,0,6.5,29
160,bilkul sahi kaha,Positive,3,3,0,4.666666666666667,16
161,bhai app kamyab hain 😂😝,Positive,5,5,1,3.8,23
162,although ham nay apny kharchay kam kr liay han hahahahahahah,Positive,10,10,2,5.1,60
163,mashaallah allah pak sb k leay acha keray ameen,Positive,9,9,2,4.333333333333333,47
164,ameen han sana no extravagence,Positive,5,5,1,5.2,30
165,bt dil ko achi lgi.,Positive,5,5,1,3.0,19
166,point pe hy puray 😋,Positive,5,5,2,3.0,19
167,ye hoti hai kamyabi 😂,Positive,5,5,1,3.4,21
168,"koi ni, perfectly imperfct tou mil jye ga😉",Positive,8,8,4,4.375,42
169,mil jaye ga .... apna dhondh ln phir tmhry leay b 😉,Positive,12,12,2,3.3333333333333335,51
170,"haha acha chlo koshish krna dono bhai hon, aur bara vala mra🤣",Positive,12,12,4,4.166666666666667,61
171,haha pgl choty bhaie wali zyada faidy m hoty sb set hoa va milta jithani g 😂,Positive,17,17,2,3.5294117647058822,76
172,"har pal har dum azam hmara
sb sy perfct jo vo shakhs hmara😂😂😂😂",Positive,13,12,3,3.8461538461538463,62
173,lkn phr b roub tou bari ka hi hota😂,Positive,9,9,4,3.0,35
174,yr wesy mil k sb ko set kr dyn gyn 😂,Positive,11,11,4,2.3636363636363638,36
175,ptq ni ab set krengy ya khud set hongy😔,Positive,9,8,2,3.4444444444444446,39
176,bs sai wa swery fir uni da hostel done ay :-d,Positive,11,11,0,3.1818181818181817,45
177,haha idea bura nai tha wesy chalo nxt sae 😎,Positive,10,10,2,3.4,43
178,"xactly,cup apna,spoon apna... sakoon apna ....😜😛",Positive,6,6,0,7.166666666666667,48
179,aisaaa hi hai...,Positive,3,3,1,4.666666666666667,16
180,tere lye bday gft mil gya😉,Positive,6,6,2,3.5,26
181,koi issue nai bhale mera cup use karen 🤣 beta meri bottle b har koi use karta hai,Positive,18,16,4,3.5555555555555554,81
182,pyar bharta h ase,Positive,4,4,0,3.5,17
183,kiaa pata behna shareef ho,Positive,5,5,1,4.4,26
184,shareef hi hai,Positive,3,3,2,4.0,14
185,tm dost ho yar keh skti ho,Positive,7,6,2,2.857142857142857,26
186,me idhr b aisi hun apko islamabad ka shak pra rehta🤣,Positive,11,11,2,3.8181818181818183,52
187,alhumdulilah ghalazat to nhi hai 😈😯👊👊👊👊👊,Positive,6,6,2,5.833333333333333,40
188,hahahhaahaha me to kahin sa b maesna ni lgta .tumhain pta ni kaisay lgta,Positive,14,12,1,4.214285714285714,72
189,hahah hum bi apko sharif hi smjta han jnb,Positive,9,9,3,3.6666666666666665,41
190,haha haha haye mei war jaon🤣🤣🤣,Positive,6,5,0,4.166666666666667,30
191,tm mere kch kehne se pehle he smjh jatay ho sb,Positive,11,11,4,3.272727272727273,46
192,woh to masha'allah se meri qabliat hai.. ,Positive,7,7,3,4.857142857142857,41
193,aur masoomiyat bhi ,Positive,3,3,2,5.333333333333333,19
194,ye apke liye likha gaya hai ... area per square eench :p,Positive,12,12,3,3.75,56
195,bhai main ek shareef insan hon :-p,Positive,7,7,1,4.0,34
196,yd h aik mohtrma hua krti ti shareeef tareeen bibi 😂😂😂,Positive,11,11,0,4.0,54
197,haha...mtlb main shareef nazar aati hun...😜😁,Positive,6,6,1,6.5,44
198,wyse main shareef hun b...😂😉,Positive,5,5,2,4.8,28
199,no galazaat,Positive,2,2,0,5.0,11
200,wo to shukar hy aesi technology ai nh abhi😂😂,Positive,9,9,4,4.0,44
201,shreef bcha,Positive,2,2,0,5.0,11
202,hn hn bohot shreef,Positive,4,3,0,3.75,18
203,bolti rahu but ma messani ni,Positive,6,6,0,3.8333333333333335,28
204,bht saaaf or shareeef hun koi ghalazat nai 😂,Positive,9,9,3,4.0,44
205,wah wah kia soch pyi hy shahneez😂,Positive,7,6,1,3.857142857142857,33
206,dair aye pr drust aye 😂😂,Positive,6,5,2,3.1666666666666665,24
207,hi rabi tu kitni famous hu gai,Positive,7,7,3,3.4285714285714284,30
208,😀 meray shareef dost,Positive,4,4,0,4.25,20
209,hell true :-/ waday tusi sharif hunh,Positive,7,7,0,4.285714285714286,36
210,han koi shak ni,Positive,4,4,2,3.0,15
211,pyari baat,Positive,2,2,0,4.5,10
212,....ap k liay kuch khoobsurat batain😎🤗,Positive,6,6,1,5.5,38
213,haha dafa karo aj kal ghlazat sy door he rehta hun :-d,Positive,12,12,2,3.5833333333333335,54
214,ap b shreef hain isi leye mn apko shareef lgi 😊😂😂😂😂,Positive,11,11,1,3.727272727272727,51
215,sahi kaha😂😂,Positive,2,2,0,5.0,11
216,shabash khabeesni ..sahi boli aik dum !!,Positive,7,7,0,4.857142857142857,40
217,aur tm safai se kr jati ho 👊🏻👊🏻😒,Positive,8,8,5,3.125,32
218,saif tumhry kapry nusrat api pehan sakti hain...nhi na... tu phir...,Positive,11,11,1,5.2727272727272725,68
219,moqay py choka,Positive,3,3,0,4.0,14
220,sb hi mazay k hain,Positive,5,5,3,2.8,18
221,aja pilati😝😝,Positive,2,2,0,5.5,12
222,janeman sari chizaaay kehlaooo gi treat pr,Positive,7,7,1,5.142857142857143,42
223,dabba khali is liye ho ga kyun k tum kha chuki ho gi na 😂😂😂,Positive,15,14,7,3.0,59
224,sharab pin gy wd sheesha 😂😂😂 sutty lgain gy jani sutty,Positive,11,9,2,4.0,54
225,ye ly or fkr na kr hm 7 7 hain,Positive,10,9,3,2.1,30
226,peene wala bann aja.. tujhy sahi se coca cola pilaoga..,Positive,10,10,2,4.6,55
227,buri bat achhy bchchy galiyan nhi dety,Positive,7,7,0,4.571428571428571,38
228,nhe tum itna taradud na kro bus aj ka mera bill tumhari taraf sa ma na sasta ma maaf kea😎,Positive,20,18,3,3.5,89
229,ap mahaan ho ap india chaly jao 🤣,Positive,8,7,1,3.25,33
230,anum tum kini pyari ho,Positive,5,5,1,3.6,22
231,bas bas bhan itna pyar na do samhala nae jay ga😂😂😂,Positive,11,10,1,3.6363636363636362,50
232,aray is se b ziada don gi ane to do😄,Positive,10,10,4,2.7,36
233,achha krti ho,Positive,3,3,1,3.6666666666666665,13
234,sae kha,Positive,2,2,0,3.0,7
235,allah ka shuakr hy ye tw hum per 😂,Positive,9,9,3,2.888888888888889,34
236,changi gal hy,Positive,3,3,1,3.6666666666666665,13
237,hum girls hn isliye judge kr skti hn but as a psychologist nhe kr sktien...ajeeb bat h😂😂 mem ko btaen gy hum kr skti hn judge bcoz we r girls😈😝,Positive,30,23,7,3.8,143
238,tab main tumain btao ge na 😂 aur bhe maza ae ga,Positive,12,12,4,3.0,47
239,ya ya.. they have all rights to do that with out any regret 😂,Positive,14,14,2,3.4285714285714284,61
240,hahhahaha kesy hm apny points ko defend krty hy use hm bba krny k bad bhi lawyer bn skty hy 🤣🤣🤣🤣🤣,Positive,21,19,5,3.6666666666666665,97
241,wo to hm bne bnaye hain 😉 😂😂,Positive,8,8,3,2.625,28
242,hehehe bs kbhi gharoor nhi keya😂😂,Positive,6,6,0,4.666666666666667,33
243,"hahaha ap tu bhot ""masoom"" hain 😂😂",Positive,7,7,2,4.0,34
244,don't care :-d..judge kro hamen or saro :-\,Positive,8,8,0,4.5,43
245,"our ""aja khedeye"" is zada cute 😂😂",Positive,7,7,1,3.857142857142857,33
246,uper waly portion will always welcome them😂,Positive,7,7,0,5.285714285714286,43
247,hahaha a jaoo yahe kam best haii ab 😂😂😂,Positive,9,9,1,3.4444444444444446,39
248,or check kr hamari predictions almost such b niklti then :d hahaha,Positive,12,12,1,4.583333333333333,66
249,or baray achay say yeh kaam hum anjaam detay hain😄😂,Positive,10,10,2,4.2,51
250,bs dehko urdu agye parhna :')😂😂❤,Positive,6,6,0,4.5,32
251,hehehehe wo b spcl logn koo judge kia jataa naa meshhhhiii proud to b spcl one😂😂😂😂,Positive,16,14,2,4.1875,82
252,tmara pasandeedaaa kam :-d,Positive,4,4,0,5.75,26
253,fav kaam hai hummara yaar.,Positive,5,5,1,4.4,26
254,hmri jugjmnt kaml ki ha nw 😛😂😂😂😂,Positive,7,7,1,3.7142857142857144,32
255,hahahaha bht hi enjoy karty thy hm gari me fiza k sath b ..,Positive,14,14,2,3.2857142857142856,59
256,o haan fiza hahha usy kdr bhool skty hahahha,Positive,9,9,1,4.0,44
257,hahahahahahahahaha chalo chalo naiki aur pooch pooch 😂😂,Positive,8,6,1,6.0,55
258,"tu jahan mein wahan, meri aziz:')",Positive,6,6,1,4.666666666666667,33
259,😂😂 men samjha ap ne likha h ao logon ko haj kratay hen lol,Positive,14,14,2,3.2142857142857144,58
260,behtreen hogaya 😂😂😂,Positive,3,3,0,5.666666666666667,19
261,jao ja k hajj kro,Positive,5,5,1,2.6,17
262,ajao yah hmara fvrt kam ha 😁,Positive,7,7,0,3.142857142857143,28
263,hahaha hum to master hain is kaam mein 😂😂,Positive,9,9,4,3.6666666666666665,41
264,ajao...ajj main mood main houn,Positive,5,4,3,5.2,30
265,haa sahi gaalh aaah..,Positive,4,4,0,4.5,21
266,ao un k gunah kum krty hain 😂😂😂,Positive,8,8,1,3.0,31
267,aur unhy pak krty hain😂😂,Positive,5,5,1,4.0,24
268,tbi wo white lgty hain 😂😂,Positive,6,6,2,3.3333333333333335,25
269,hmari tu prediction b sahe hoti hai,Positive,7,7,2,4.142857142857143,35
270,fiqr na faqaa aish kr kaka,Positive,6,6,2,3.5,26
271,"jaani grand party hogi i am overexicted for your day😎😂❤
 tu lagdi lahore ki cause tera mohn chetaa hath kalay💁😂",Positive,20,20,2,4.55,111
